Timestamp,Container,CPU,Memory Usage
2024-07-01 12:13:06,docker_extractor_1,108.42,85.27
2024-07-01 12:13:06,docker_minion_1,0.17,26.12
2024-07-01 12:13:06,docker_controller_1,0.19,25.89
2024-07-01 12:13:06,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:13:06,docker_postgres_1,0.03,35.63
2024-07-01 12:13:06,docker_cache_1,19.06,830.70
2024-07-01 12:13:19,docker_detector_1,612.09,509.40
2024-07-01 12:13:19,docker_combiner_1,0.15,40.48
2024-07-01 12:13:19,docker_extractor_1,0.30,79.22
2024-07-01 12:13:19,docker_minion_1,0.18,26.16
2024-07-01 12:13:19,docker_controller_1,0.20,26.00
2024-07-01 12:13:19,docker_pgbouncer_1,0.02,1.34
2024-07-01 12:13:19,docker_postgres_1,0.05,35.64
2024-07-01 12:13:19,docker_cache_1,71.58,1007.00
2024-07-01 12:13:32,docker_detector_1,722.12,639.40
2024-07-01 12:13:32,docker_combiner_1,0.19,40.48
2024-07-01 12:13:32,docker_extractor_1,0.42,79.22
2024-07-01 12:13:32,docker_minion_1,0.23,26.16
2024-07-01 12:13:32,docker_controller_1,0.30,26.00
2024-07-01 12:13:32,docker_pgbouncer_1,0.03,1.34
2024-07-01 12:13:32,docker_postgres_1,0.02,35.68
2024-07-01 12:13:32,docker_cache_1,70.43,1005.00
2024-07-01 12:13:44,docker_detector_1,0.18,746.80
2024-07-01 12:13:44,docker_combiner_1,100.25,87.81
2024-07-01 12:13:44,docker_extractor_1,0.29,79.22
2024-07-01 12:13:44,docker_minion_1,0.16,26.16
2024-07-01 12:13:44,docker_controller_1,0.21,26.03
2024-07-01 12:13:44,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:13:44,docker_postgres_1,0.00,35.68
2024-07-01 12:13:44,docker_cache_1,0.30,1002.00
2024-07-01 12:13:57,docker_detector_1,398.68,874.60
2024-07-01 12:13:57,docker_combiner_1,0.19,45.88
2024-07-01 12:13:57,docker_extractor_1,0.29,79.20
2024-07-01 12:13:57,docker_minion_1,0.17,26.19
2024-07-01 12:13:57,docker_controller_1,0.22,26.06
2024-07-01 12:13:57,docker_pgbouncer_1,0.02,1.34
2024-07-01 12:13:57,docker_postgres_1,0.02,35.68
2024-07-01 12:13:57,docker_cache_1,0.30,1017.00
2024-07-01 12:14:10,docker_detector_1,698.69,874.60
2024-07-01 12:14:10,docker_combiner_1,0.29,45.88
2024-07-01 12:14:10,docker_extractor_1,0.45,79.20
2024-07-01 12:14:10,docker_minion_1,0.27,26.19
2024-07-01 12:14:10,docker_controller_1,0.31,26.05
2024-07-01 12:14:10,docker_pgbouncer_1,0.02,1.34
2024-07-01 12:14:10,docker_postgres_1,0.01,35.69
2024-07-01 12:14:10,docker_cache_1,91.94,1019.00
2024-07-01 12:14:22,docker_detector_1,358.63,894.80
2024-07-01 12:14:22,docker_combiner_1,0.19,57.00
2024-07-01 12:14:22,docker_extractor_1,0.34,84.05
2024-07-01 12:14:22,docker_minion_1,10.87,26.21
2024-07-01 12:14:22,docker_controller_1,0.28,26.10
2024-07-01 12:14:22,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:14:22,docker_postgres_1,0.02,35.68
2024-07-01 12:14:22,docker_cache_1,0.27,1017.00
2024-07-01 12:14:35,docker_detector_1,793.17,1013.00
2024-07-01 12:14:35,docker_combiner_1,0.29,57.00
2024-07-01 12:14:35,docker_extractor_1,0.50,84.05
2024-07-01 12:14:35,docker_minion_1,0.23,26.21
2024-07-01 12:14:35,docker_controller_1,0.30,26.10
2024-07-01 12:14:35,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:14:35,docker_postgres_1,0.03,35.69
2024-07-01 12:14:35,docker_cache_1,0.39,1017.00
2024-07-01 12:14:48,docker_detector_1,721.71,1013.00
2024-07-01 12:14:48,docker_combiner_1,0.24,57.00
2024-07-01 12:14:48,docker_extractor_1,0.47,84.05
2024-07-01 12:14:48,docker_minion_1,0.21,26.21
2024-07-01 12:14:48,docker_controller_1,0.29,26.09
2024-07-01 12:14:48,docker_pgbouncer_1,0.09,1.33
2024-07-01 12:14:48,docker_postgres_1,0.02,35.70
2024-07-01 12:14:48,docker_cache_1,73.22,1014.00
2024-07-01 12:15:00,docker_detector_1,723.33,1013.00
2024-07-01 12:15:00,docker_combiner_1,0.20,59.51
2024-07-01 12:15:00,docker_extractor_1,0.34,79.23
2024-07-01 12:15:00,docker_minion_1,0.23,26.22
2024-07-01 12:15:00,docker_controller_1,0.23,26.12
2024-07-01 12:15:00,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:15:00,docker_postgres_1,0.03,35.69
2024-07-01 12:15:00,docker_cache_1,72.10,1.02
2024-07-01 12:15:13,docker_detector_1,493.63,1013.00
2024-07-01 12:15:13,docker_combiner_1,0.21,59.51
2024-07-01 12:15:13,docker_extractor_1,0.32,79.23
2024-07-01 12:15:13,docker_minion_1,0.29,26.22
2024-07-01 12:15:13,docker_controller_1,0.24,26.12
2024-07-01 12:15:13,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:15:13,docker_postgres_1,0.00,35.77
2024-07-01 12:15:13,docker_cache_1,0.26,1003.00
2024-07-01 12:15:26,docker_detector_1,723.01,1013.00
2024-07-01 12:15:26,docker_combiner_1,0.27,57.05
2024-07-01 12:15:26,docker_extractor_1,0.45,84.08
2024-07-01 12:15:26,docker_minion_1,0.22,26.25
2024-07-01 12:15:26,docker_controller_1,0.34,26.13
2024-07-01 12:15:26,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:15:26,docker_postgres_1,1.26,35.78
2024-07-01 12:15:26,docker_cache_1,70.43,1022.00
2024-07-01 12:15:38,docker_detector_1,713.36,1013.00
2024-07-01 12:15:38,docker_combiner_1,0.21,57.05
2024-07-01 12:15:38,docker_extractor_1,0.35,84.08
2024-07-01 12:15:38,docker_minion_1,0.19,26.25
2024-07-01 12:15:38,docker_controller_1,0.28,26.13
2024-07-01 12:15:38,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:15:38,docker_postgres_1,0.02,35.77
2024-07-01 12:15:38,docker_cache_1,87.91,1.01
2024-07-01 12:15:51,docker_detector_1,630.03,1013.00
2024-07-01 12:15:51,docker_combiner_1,18.82,94.72
2024-07-01 12:15:51,docker_extractor_1,0.42,84.08
2024-07-01 12:15:51,docker_minion_1,5.59,26.25
2024-07-01 12:15:51,docker_controller_1,3.92,26.13
2024-07-01 12:15:51,docker_pgbouncer_1,2.03,1.34
2024-07-01 12:15:51,docker_postgres_1,1.49,35.79
2024-07-01 12:15:51,docker_cache_1,0.34,996.00
2024-07-01 12:16:04,docker_detector_1,719.84,1018.00
2024-07-01 12:16:04,docker_combiner_1,0.33,61.97
2024-07-01 12:16:04,docker_extractor_1,0.44,79.27
2024-07-01 12:16:04,docker_minion_1,0.25,26.26
2024-07-01 12:16:04,docker_controller_1,0.32,26.14
2024-07-01 12:16:04,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:16:04,docker_postgres_1,0.04,35.78
2024-07-01 12:16:04,docker_cache_1,34.68,1019.00
2024-07-01 12:16:16,docker_detector_1,721.97,1001.00
2024-07-01 12:16:16,docker_combiner_1,0.28,61.97
2024-07-01 12:16:16,docker_extractor_1,0.49,79.27
2024-07-01 12:16:16,docker_minion_1,0.19,26.26
2024-07-01 12:16:16,docker_controller_1,0.36,26.14
2024-07-01 12:16:16,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:16:16,docker_postgres_1,0.01,35.79
2024-07-01 12:16:16,docker_cache_1,75.86,1014.00
2024-07-01 12:16:29,docker_detector_1,71.52,1001.00
2024-07-01 12:16:29,docker_combiner_1,0.21,57.09
2024-07-01 12:16:29,docker_extractor_1,23.91,95.75
2024-07-01 12:16:29,docker_minion_1,5.43,26.27
2024-07-01 12:16:29,docker_controller_1,3.93,26.14
2024-07-01 12:16:29,docker_pgbouncer_1,1.96,1.33
2024-07-01 12:16:29,docker_postgres_1,1.53,35.78
2024-07-01 12:16:29,docker_cache_1,2.56,1013.00
2024-07-01 12:16:42,docker_detector_1,788.85,1.01
2024-07-01 12:16:42,docker_combiner_1,0.37,57.09
2024-07-01 12:16:42,docker_extractor_1,0.55,83.17
2024-07-01 12:16:42,docker_minion_1,0.27,26.27
2024-07-01 12:16:42,docker_controller_1,0.33,26.14
2024-07-01 12:16:42,docker_pgbouncer_1,0.05,1.33
2024-07-01 12:16:42,docker_postgres_1,0.31,35.85
2024-07-01 12:16:42,docker_cache_1,0.33,1013.00
2024-07-01 12:16:54,docker_detector_1,725.52,1001.00
2024-07-01 12:16:54,docker_combiner_1,0.29,57.09
2024-07-01 12:16:54,docker_extractor_1,0.47,83.17
2024-07-01 12:16:54,docker_minion_1,0.29,26.27
2024-07-01 12:16:54,docker_controller_1,0.34,26.14
2024-07-01 12:16:54,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:16:54,docker_postgres_1,0.02,35.88
2024-07-01 12:16:54,docker_cache_1,71.73,1009.00
2024-07-01 12:17:07,docker_detector_1,380.42,1001.00
2024-07-01 12:17:07,docker_combiner_1,0.20,62.00
2024-07-01 12:17:07,docker_extractor_1,0.31,79.28
2024-07-01 12:17:07,docker_minion_1,0.15,26.30
2024-07-01 12:17:07,docker_controller_1,0.23,26.16
2024-07-01 12:17:07,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:17:07,docker_postgres_1,0.00,35.88
2024-07-01 12:17:07,docker_cache_1,34.44,1013.00
2024-07-01 12:17:20,docker_detector_1,702.96,1.03
2024-07-01 12:17:20,docker_combiner_1,0.27,62.00
2024-07-01 12:17:20,docker_extractor_1,0.45,79.28
2024-07-01 12:17:20,docker_minion_1,0.22,26.30
2024-07-01 12:17:20,docker_controller_1,0.33,26.16
2024-07-01 12:17:20,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:17:20,docker_postgres_1,0.00,35.88
2024-07-01 12:17:20,docker_cache_1,0.40,996.30
2024-07-01 12:17:32,docker_detector_1,722.18,1014.00
2024-07-01 12:17:32,docker_combiner_1,0.32,59.55
2024-07-01 12:17:32,docker_extractor_1,0.48,79.28
2024-07-01 12:17:32,docker_minion_1,0.27,26.30
2024-07-01 12:17:32,docker_controller_1,0.33,26.15
2024-07-01 12:17:32,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:17:32,docker_postgres_1,0.02,35.88
2024-07-01 12:17:32,docker_cache_1,72.87,1013.00
2024-07-01 12:17:45,docker_detector_1,721.41,1014.00
2024-07-01 12:17:45,docker_combiner_1,0.27,59.55
2024-07-01 12:17:45,docker_extractor_1,0.40,79.28
2024-07-01 12:17:45,docker_minion_1,0.23,26.30
2024-07-01 12:17:45,docker_controller_1,0.29,26.15
2024-07-01 12:17:45,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:17:45,docker_postgres_1,1.06,36.01
2024-07-01 12:17:45,docker_cache_1,69.53,1019.00
2024-07-01 12:17:58,docker_detector_1,256.98,1014.00
2024-07-01 12:17:58,docker_combiner_1,67.46,99.81
2024-07-01 12:17:58,docker_extractor_1,0.38,79.29
2024-07-01 12:17:58,docker_minion_1,0.28,26.30
2024-07-01 12:17:58,docker_controller_1,3.84,26.16
2024-07-01 12:17:58,docker_pgbouncer_1,1.98,1.33
2024-07-01 12:17:58,docker_postgres_1,1.41,35.89
2024-07-01 12:17:58,docker_cache_1,0.82,992.00
2024-07-01 12:18:11,docker_detector_1,413.81,1001.00
2024-07-01 12:18:11,docker_combiner_1,0.21,59.55
2024-07-01 12:18:11,docker_extractor_1,0.39,79.29
2024-07-01 12:18:11,docker_minion_1,0.18,26.31
2024-07-01 12:18:11,docker_controller_1,0.35,26.16
2024-07-01 12:18:11,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:18:11,docker_postgres_1,0.02,35.89
2024-07-01 12:18:11,docker_cache_1,94.38,1014.00
2024-07-01 12:18:23,docker_detector_1,719.66,1001.00
2024-07-01 12:18:23,docker_combiner_1,0.31,59.55
2024-07-01 12:18:23,docker_extractor_1,0.47,79.29
2024-07-01 12:18:23,docker_minion_1,0.23,26.31
2024-07-01 12:18:23,docker_controller_1,0.38,26.16
2024-07-01 12:18:23,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:18:23,docker_postgres_1,0.02,35.89
2024-07-01 12:18:23,docker_cache_1,73.24,1006.00
2024-07-01 12:18:36,docker_detector_1,335.87,1001.00
2024-07-01 12:18:36,docker_combiner_1,0.18,64.45
2024-07-01 12:18:36,docker_extractor_1,0.32,79.30
2024-07-01 12:18:36,docker_minion_1,0.18,26.33
2024-07-01 12:18:36,docker_controller_1,0.31,26.16
2024-07-01 12:18:36,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:18:36,docker_postgres_1,0.03,35.89
2024-07-01 12:18:36,docker_cache_1,2.83,1007.00
2024-07-01 12:18:48,docker_detector_1,790.84,1014.00
2024-07-01 12:18:48,docker_combiner_1,0.31,64.45
2024-07-01 12:18:48,docker_extractor_1,0.56,79.30
2024-07-01 12:18:48,docker_minion_1,0.24,26.33
2024-07-01 12:18:48,docker_controller_1,0.38,26.16
2024-07-01 12:18:48,docker_pgbouncer_1,0.05,1.33
2024-07-01 12:18:48,docker_postgres_1,0.00,35.89
2024-07-01 12:18:48,docker_cache_1,0.33,1007.00
2024-07-01 12:19:01,docker_detector_1,701.99,1014.00
2024-07-01 12:19:01,docker_combiner_1,0.28,64.44
2024-07-01 12:19:01,docker_extractor_1,0.48,79.30
2024-07-01 12:19:01,docker_minion_1,0.27,26.33
2024-07-01 12:19:01,docker_controller_1,0.34,26.16
2024-07-01 12:19:01,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:19:01,docker_postgres_1,0.00,35.89
2024-07-01 12:19:01,docker_cache_1,77.56,1004.00
2024-07-01 12:19:14,docker_detector_1,574.61,1015.00
2024-07-01 12:19:14,docker_combiner_1,0.18,69.82
2024-07-01 12:19:14,docker_extractor_1,0.36,79.30
2024-07-01 12:19:14,docker_minion_1,0.21,26.35
2024-07-01 12:19:14,docker_controller_1,0.25,26.16
2024-07-01 12:19:14,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:19:14,docker_postgres_1,0.02,35.89
2024-07-01 12:19:14,docker_cache_1,0.33,1005.00
2024-07-01 12:19:26,docker_detector_1,587.28,1015.00
2024-07-01 12:19:26,docker_combiner_1,0.23,69.82
2024-07-01 12:19:26,docker_extractor_1,0.50,79.30
2024-07-01 12:19:26,docker_minion_1,0.21,26.35
2024-07-01 12:19:26,docker_controller_1,0.27,26.16
2024-07-01 12:19:26,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:19:26,docker_postgres_1,0.00,35.89
2024-07-01 12:19:26,docker_cache_1,0.32,990.40
2024-07-01 12:19:39,docker_detector_1,723.51,1015.00
2024-07-01 12:19:39,docker_combiner_1,0.32,69.82
2024-07-01 12:19:39,docker_extractor_1,0.45,79.29
2024-07-01 12:19:39,docker_minion_1,0.23,26.36
2024-07-01 12:19:39,docker_controller_1,0.31,26.18
2024-07-01 12:19:39,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:19:39,docker_postgres_1,0.02,35.89
2024-07-01 12:19:39,docker_cache_1,78.99,1009.00
2024-07-01 12:19:52,docker_detector_1,706.64,1015.00
2024-07-01 12:19:52,docker_combiner_1,0.20,69.82
2024-07-01 12:19:52,docker_extractor_1,0.36,79.29
2024-07-01 12:19:52,docker_minion_1,0.18,26.36
2024-07-01 12:19:52,docker_controller_1,0.27,26.18
2024-07-01 12:19:52,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:19:52,docker_postgres_1,0.00,35.89
2024-07-01 12:19:52,docker_cache_1,76.57,1011.00
2024-07-01 12:20:04,docker_detector_1,452.61,1014.00
2024-07-01 12:20:04,docker_combiner_1,39.53,88.88
2024-07-01 12:20:04,docker_extractor_1,0.39,79.29
2024-07-01 12:20:04,docker_minion_1,5.77,26.36
2024-07-01 12:20:04,docker_controller_1,3.80,26.18
2024-07-01 12:20:04,docker_pgbouncer_1,1.96,1.33
2024-07-01 12:20:04,docker_postgres_1,1.43,35.89
2024-07-01 12:20:04,docker_cache_1,0.31,984.20
2024-07-01 12:20:17,docker_detector_1,720.47,1.06
2024-07-01 12:20:17,docker_combiner_1,0.33,57.10
2024-07-01 12:20:17,docker_extractor_1,0.52,79.30
2024-07-01 12:20:17,docker_minion_1,0.24,26.37
2024-07-01 12:20:17,docker_controller_1,0.44,26.18
2024-07-01 12:20:17,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:20:17,docker_postgres_1,0.05,35.89
2024-07-01 12:20:17,docker_cache_1,71.01,1009.00
2024-07-01 12:20:30,docker_detector_1,722.84,985.00
2024-07-01 12:20:30,docker_combiner_1,0.30,57.10
2024-07-01 12:20:30,docker_extractor_1,0.59,79.30
2024-07-01 12:20:30,docker_minion_1,0.22,26.37
2024-07-01 12:20:30,docker_controller_1,0.39,26.18
2024-07-01 12:20:30,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:20:30,docker_postgres_1,0.00,35.89
2024-07-01 12:20:30,docker_cache_1,72.28,1003.00
2024-07-01 12:20:42,docker_detector_1,27.85,1024.00
2024-07-01 12:20:42,docker_combiner_1,0.21,69.82
2024-07-01 12:20:42,docker_extractor_1,0.33,79.31
2024-07-01 12:20:42,docker_minion_1,0.19,26.38
2024-07-01 12:20:42,docker_controller_1,0.32,26.19
2024-07-01 12:20:42,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:20:42,docker_postgres_1,3.06,35.89
2024-07-01 12:20:42,docker_cache_1,0.30,1002.00
2024-07-01 12:20:55,docker_detector_1,790.32,984.90
2024-07-01 12:20:55,docker_combiner_1,0.41,69.82
2024-07-01 12:20:55,docker_extractor_1,0.56,79.31
2024-07-01 12:20:55,docker_minion_1,0.24,26.38
2024-07-01 12:20:55,docker_controller_1,0.41,26.19
2024-07-01 12:20:55,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:20:55,docker_postgres_1,0.00,35.89
2024-07-01 12:20:55,docker_cache_1,0.35,1002.00
2024-07-01 12:21:08,docker_detector_1,723.62,984.90
2024-07-01 12:21:08,docker_combiner_1,0.32,69.82
2024-07-01 12:21:08,docker_extractor_1,0.49,79.31
2024-07-01 12:21:08,docker_minion_1,0.25,26.38
2024-07-01 12:21:08,docker_controller_1,0.36,26.18
2024-07-01 12:21:08,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:21:08,docker_postgres_1,0.04,35.89
2024-07-01 12:21:08,docker_cache_1,71.61,997.30
2024-07-01 12:21:20,docker_detector_1,451.02,985.00
2024-07-01 12:21:20,docker_combiner_1,0.21,69.82
2024-07-01 12:21:20,docker_extractor_1,0.32,84.13
2024-07-01 12:21:20,docker_minion_1,0.28,26.38
2024-07-01 12:21:20,docker_controller_1,0.34,26.20
2024-07-01 12:21:20,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:20,docker_postgres_1,0.03,35.89
2024-07-01 12:21:20,docker_cache_1,0.28,999.50
2024-07-01 12:21:33,docker_detector_1,701.90,1.03
2024-07-01 12:21:33,docker_combiner_1,0.27,69.82
2024-07-01 12:21:33,docker_extractor_1,0.49,84.13
2024-07-01 12:21:33,docker_minion_1,0.23,26.38
2024-07-01 12:21:33,docker_controller_1,0.36,26.20
2024-07-01 12:21:33,docker_pgbouncer_1,0.04,1.33
2024-07-01 12:21:33,docker_postgres_1,0.00,35.89
2024-07-01 12:21:33,docker_cache_1,0.37,985.00
2024-07-01 12:21:46,docker_detector_1,723.69,1015.00
2024-07-01 12:21:46,docker_combiner_1,0.34,69.83
2024-07-01 12:21:46,docker_extractor_1,0.48,79.32
2024-07-01 12:21:46,docker_minion_1,0.29,26.40
2024-07-01 12:21:46,docker_controller_1,0.38,26.21
2024-07-01 12:21:46,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:46,docker_postgres_1,0.03,35.89
2024-07-01 12:21:46,docker_cache_1,71.29,994.00
2024-07-01 12:21:59,docker_detector_1,716.61,1015.00
2024-07-01 12:21:59,docker_combiner_1,0.26,69.83
2024-07-01 12:21:59,docker_extractor_1,0.73,79.32
2024-07-01 12:21:59,docker_minion_1,0.20,26.40
2024-07-01 12:21:59,docker_controller_1,0.33,26.21
2024-07-01 12:21:59,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:21:59,docker_postgres_1,0.00,35.89
2024-07-01 12:21:59,docker_cache_1,70.46,1006.00
2024-07-01 12:22:11,docker_detector_1,228.36,1015.00
2024-07-01 12:22:11,docker_combiner_1,70.65,105.50
2024-07-01 12:22:11,docker_extractor_1,0.34,79.32
2024-07-01 12:22:11,docker_minion_1,5.13,26.40
2024-07-01 12:22:11,docker_controller_1,0.52,26.21
2024-07-01 12:22:11,docker_pgbouncer_1,1.93,1.33
2024-07-01 12:22:11,docker_postgres_1,1.56,35.89
2024-07-01 12:22:11,docker_cache_1,0.81,984.60
2024-07-01 12:22:24,docker_detector_1,719.51,1.05
2024-07-01 12:22:24,docker_combiner_1,0.33,62.01
2024-07-01 12:22:24,docker_extractor_1,0.60,84.17
2024-07-01 12:22:24,docker_minion_1,0.23,26.40
2024-07-01 12:22:24,docker_controller_1,0.47,26.21
2024-07-01 12:22:24,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:22:24,docker_postgres_1,0.02,35.89
2024-07-01 12:22:24,docker_cache_1,91.89,1008.00
2024-07-01 12:22:37,docker_detector_1,712.85,1020.00
2024-07-01 12:22:37,docker_combiner_1,0.23,62.01
2024-07-01 12:22:37,docker_extractor_1,0.62,84.17
2024-07-01 12:22:37,docker_minion_1,0.23,26.40
2024-07-01 12:22:37,docker_controller_1,0.48,26.21
2024-07-01 12:22:37,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:22:37,docker_postgres_1,0.00,35.90
2024-07-01 12:22:37,docker_cache_1,69.23,1002.00
2024-07-01 12:22:49,docker_detector_1,54.47,1020.00
2024-07-01 12:22:49,docker_combiner_1,0.23,59.57
2024-07-01 12:22:49,docker_extractor_1,0.43,79.34
2024-07-01 12:22:49,docker_minion_1,0.23,26.42
2024-07-01 12:22:49,docker_controller_1,0.36,26.22
2024-07-01 12:22:49,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:22:49,docker_postgres_1,0.00,35.90
2024-07-01 12:22:49,docker_cache_1,0.31,999.50
2024-07-01 12:23:02,docker_detector_1,606.80,1.00
2024-07-01 12:23:02,docker_combiner_1,0.29,59.57
2024-07-01 12:23:02,docker_extractor_1,0.49,79.34
2024-07-01 12:23:02,docker_minion_1,0.21,26.42
2024-07-01 12:23:02,docker_controller_1,0.40,26.22
2024-07-01 12:23:02,docker_pgbouncer_1,0.03,1.33
2024-07-01 12:23:02,docker_postgres_1,0.01,35.89
2024-07-01 12:23:02,docker_cache_1,0.38,999.70
2024-07-01 12:23:15,docker_detector_1,721.05,998.30
2024-07-01 12:23:15,docker_combiner_1,0.33,59.57
2024-07-01 12:23:15,docker_extractor_1,0.48,79.34
2024-07-01 12:23:15,docker_minion_1,0.28,26.42
2024-07-01 12:23:15,docker_controller_1,0.40,26.21
2024-07-01 12:23:15,docker_pgbouncer_1,0.02,1.33
2024-07-01 12:23:15,docker_postgres_1,0.00,35.90
2024-07-01 12:23:15,docker_cache_1,71.14,997.70
2024-07-01 12:23:27,docker_detector_1,712.19,998.30
2024-07-01 12:23:27,docker_combiner_1,0.34,69.84
2024-07-01 12:23:27,docker_extractor_1,0.43,79.35
2024-07-01 12:23:27,docker_minion_1,0.17,26.43
